name,phone,website,website_status,city,state,rating,reviews,quality_score
"Dan's Cans","+1 203-823-5218","https://www.danscansdumpsterrental.com/","reachable","Shelton","Connecticut",5,63,1.0
"K & H Equipment Sales Rental Service","+1 860-564-1400","http://www.khconstructionllc.com/","reachable","Plainfield","Connecticut",4.7,163,1.0
"Bin Busters","+1 302-499-4600","http://www.thebinbusters.com/","403","Milton","Delaware",5,298,1.0
"Fowler's Auto - Belltown Recycling Center","+1 860-267-7140","http://fowlersautowrecking.com/","reachable","East Hampton","Connecticut",4.6,90,1.0
"Mid-Hudson Container","+1 845-204-8520","https://www.midhudsoncontainer.com/","reachable","Milton","New York",4.7,91,1.0
"Redwood Holt","+1 833-467-2303","https://www.byredwood.com/apartments/mi/holt/redwood-holt/index.aspx","403","Holt","Michigan",4.5,136,1.0
"Bobcat of Lansing","+1 517-394-1155","http://www.bobcatoflansing.com/","reachable","Lansing","Michigan",4.6,121,1.0
"Clutter Trucker","+1 720-982-7856","https://cluttertrucker.com/junk-removal-and-cleaning-services-denver-co/","403","Denver","Colorado",4.8,352,1.0
"EZ Junk Removal","+1 209-661-7764","https://junkremovalguysofmodesto.com/","reachable","Modesto","California",5,108,1.0
"RED-E-BINS Minnesota","+1 952-931-2577","https://mn.redebins.com/","reachable","St Louis Park","Minnesota",4.9,320,1.0
"Preferred Roll-Off Services LLC","+1 719-619-6101","https://www.preferredrolloffservices.com/","reachable","Colorado Springs","Colorado",5,53,1.0
"Strunks Junk Removal and Moving LLC","+1 810-455-8401","https://timstrunk.wixsite.com/strunkjunkremoval-2","reachable","North Branch","Michigan",5,126,1.0
"Benny's Dump Runs","+1 475-284-2645","http://bennysdumpruns.com/","403","Stratford","Connecticut",5,166,1.0
"Bin Drop Dumpster Rental","+1 201-566-7719","https://www.bindropdumpsters.com/","reachable","Carlstadt","New Jersey",4.7,147,1.0
"IEJUNK","+1 909-498-4321","https://iejunk.com/","403","Mentone","California",5,1229,1.0
"Manchester Recycling & Materials LLC","+1 860-791-4026","https://www.manchestermaterials.com/","403","Hartford","Connecticut",4.8,65,1.0
"Lansing Recycling Center","+1 517-272-7753","http://www.lansingrecyclingcenter.com/","reachable","Lansing","Michigan",4.5,125,1.0
"Neto's Dumpsters","+1 248-765-9497","https://www.netosdumpsters.com/","reachable","Shelby Township","Michigan",5,65,1.0
"Junk Squad NSLM LLC","+1 626-264-2513","http://trashsquad.net/","reachable","Fontana","California",5,54,1.0
"Dumpster On Demand","+1 616-527-8143","https://www.dumpsterondemandmi.com/","reachable","Ionia","Michigan",4.8,139,1.0
"ACE SOLID WASTE","+1 763-427-3110","https://www.acesolidwaste.com/","reachable","Ramsey","Minnesota",4.5,1982,1.0
"Creekview Roll-off Dumpster Rental  Construction  and Outdoor services","+1 320-777-2727","http://creekviewdumpsters.com/","reachable","Mora","Minnesota",4.9,92,1.0
"EZ Lakewood Junk Removal","+1 720-961-2040","https://junkremovalguysoflakewood.com/","reachable","Lakewood","Colorado",5,56,1.0
"Patrick Miller Roll-Off Services  LLC","+1 763-762-6392","http://www.pmroll.com/","reachable","Fridley","Minnesota",5,119,1.0
"EZ Denver Junk Removal","+1 720-594-3006","https://junkremovalguysofdenver.com/","reachable","Denver","Colorado",5,106,1.0
"Construction Roll-Off | Dumpster Rentals","+1 720-664-8664","https://www.constructionrolloff.com/","reachable","Arvada","Colorado",5,76,1.0
"JP's Junk Removal & Property Services","+1 209-876-0046","http://jptrailerrental.com/","reachable","Modesto","California",5,147,1.0
"Jansky Rubbish Removal Co.","+1 860-434-9271","http://www.janskysrubbish.com/","403","East Haddam","Connecticut",5,56,1.0
"SteelSTORED SHIPPING CONTAINERS","+1 203-705-8251","http://www.steelstored.com/","reachable","Stamford","Connecticut",5,69,1.0
"Delaware Dumpster Rentals","+1 302-463-9000","https://www.delawaredumpsterrentals.com/","reachable","Middletown","Delaware",5,169,1.0
"Bold Services","+1 973-750-4333","http://www.bolddisposal.com/","reachable","East Orange","New Jersey",4.9,57,1.0
"Heck Removal Services","+1 860-372-7900","http://www.heckremovalservices.com/","reachable","Berlin","Connecticut",4.8,134,1.0
"Junk Hunters USA","+1 714-390-9022","http://junkhuntersusa.com/","timeout","Santa Ana","California",5,175,1.0
"Hunters Service Pros","+1 203-906-4740","https://www.hunterspros.com/","403","North Haven","Connecticut",5,111,1.0
"National Storage","+1 810-412-4401","https://storenational.com/locations/michigan/burton/1056-s-belsay-rd/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dburton-1056","error:TooManyRedirects","Burton","Michigan",4.8,367,1.0
"Guardian Storage Superior","+1 720-862-3006","https://www.guardianstorage.com/locations/all/self-storage-superior-colorado","403","Superior","Colorado",4.8,316,1.0
"City of Longmont Recycling Center","+1 303-651-8416","http://www.longmontcolorado.gov/departments/departments-n-z/waste-services-compost-recycle-trash/longmont-recycling-center","reachable","Longmont","Colorado",4.5,74,1.0
"Move It Clean It Clear It  LLC","+1 203-217-2653","https://www.movecleanclear.com/","reachable","Watertown","Connecticut",5,179,1.0
"413 Dumpster","+1 413-264-3867","https://www.413dumpster.com/","reachable","Granby","Massachusetts",5,1200,1.0
"City of Fort Collins Timberline Recycling Center","+1 970-829-6337","http://www.fcgov.com/trc","reachable","Fort Collins","Colorado",4.5,84,1.0
"Cirone Construction & Carting","+1 845-533-5262","https://www.cironeconstruction.com/","reachable","Brewster","New York",4.9,54,1.0
"Connecticut Junk Removal LLC","+1 203-866-1990","https://connecticutjunkremoval.com/","reachable","Stratford","Connecticut",5,147,1.0
"J&J Brothers","+1 203-537-7777","https://jj-bros.com/","reachable","Meriden","Connecticut",4.5,60,1.0
"Erikk's Hauling  Inc.","+1 914-908-0808","http://www.erikkshauling.com/","reachable","Bedford Hills","New York",4.9,78,1.0
"West Coast Waste Removal & Dumpster Rentals Phelan","+1 760-486-2294","https://westcoastwasteremovalanddumpsterrentals.com/phelan-dumpster-rentals","timeout","Phelan","California",5,58,1.0
"Haul It All Away Junk Removal LLC.","+1 203-982-6712","http://dannysjunkremovalllc.square.site/","404","Ansonia","Connecticut",4.8,58,1.0
"Hayes Services  LLC","+1 860-448-5364","https://hayesservicesct.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp%26utm_content%3Dwebsite","reachable","East Lyme","Connecticut",4.8,63,1.0
"Bearicuda Bins","+1 877-232-7428","http://bearicuda.com/","reachable","Litchfield","Connecticut",4.9,52,1.0
"Blue Line Containers","+1 305-591-1822","https://bluelinecontainers.com/","503","Miami","Florida",5,413,1.0
"Escape Junk and Moving","+1 866-372-5865","https://escapejunk.com/","reachable","Roseland","New Jersey",5,253,1.0
"The Dumpster Guy Mobile","+1 251-415-4545","https://mobile.thedumpsterguyusa.com/%3Futm_source%3Dgoogle%26utm_medium%3Dgbp%26utm_campaign%3Dgbp","404","Theodore","Alabama",5,109,1.0
"iMOVE NYC","+1 347-727-2668","https://imovenycmoving.com/","403","Astoria","New York",5,264,1.0
"On The Go Junk Removal","+1 786-720-5661","https://onthegojunkremoval.net/","reachable","Miami","Florida",5,143,1.0
"Public Storage","+1 205-208-3740","https://www.publicstorage.com/self-storage-al-birmingham/559.html%3Fpspid%3Dpslocalsearch%26utm_source%3Dgoogle%26utm_medium%3Dlocal_maps","reachable","Birmingham","Alabama",4.8,531,1.0
"Wise Environmental Solutions","+1 256-832-7867","http://wiseenviro.com/","reachable","Oxford","Alabama",4.6,87,1.0
"USA Scrap Metal & Recycling","+1 305-635-5435","http://www.usascrapmetalcompany.com/","429","Miami","Florida",4.8,437,1.0
"Columbia Containers & Storage","+1 386-361-1175","http://columbiacontainerslc.com/","reachable","Lake City","Florida",5,152,1.0
"1-866-Junk-Be-Gone","+1 305-634-2749","https://1866junkbegone.com/","reachable","Miami","Florida",5,140,1.0
"121 Disposal Company","+1 334-707-4850","https://121disposal.com/","403","Auburn","Alabama",4.6,219,1.0
"ViroTek Services","+1 334-530-5274","https://www.virotekservices.com/","404","Opelika","Alabama",4.7,53,1.0
"Roll-Off Dumpster Direct","+1 888-885-2048","https://www.rolloffdumpsterdirect.com/%3Futm_source%3Dgoogle-my-business%26utm_medium%3Dorganic%26utm_campaign%3Dphilly","403","Wayne","Pennsylvania",4.7,846,1.0
"The Fort Dumpster Dash Spanish Fort Alabama","+1 251-287-3027","https://www.fortdumpsterdash.com/","403","Spanish Fort","Alabama",5,126,1.0
"Wasteville","+1 407-353-0788","http://www.wasteville.com/","reachable","Kissimmee","Florida",5,139,1.0
"Dauphin Containers Mobile Dumpster Rentals","+1 251-533-7391","https://dauphincontainers.com/","reachable","Mobile","Alabama",5,222,1.0
"JB Rapid Dumpster Rentals","+1 954-282-9411","http://jbrapiddumpsters.com/","reachable","Plantation","Florida",5,56,1.0
"Junk Done Right","+1 516-893-4288","https://www.junkdoneright.com/%3Futm_campaign%3DGoogleMyBusiness","403","Merrick","New York",5,357,1.0
"ALFA GARAGE MIAMI","+1 305-871-5551","http://alfagaragemiami.com/","403","Miami","Florida",5,501,1.0
"Gables 37 Grand","+1 305-443-0091","https://gables37grand.prospectportal.com/","403","Miami","Florida",4.5,77,1.0
"Superior Waste Services of New York","+1 631-580-5800","https://superiorwaste.com/","reachable","Holbrook","New York",4.9,101,1.0
"USA Dumpster Rentals Miami","+1 305-493-8793","http://usadumpsterrentals.net/%3Futm_medium%3Dgoogle_business_profile%26utm_source%3Dgoogle","reachable","Miami","Florida",4.8,110,1.0
"Standard Iron & Metal Inc","+1 205-328-0538","https://www.standardironandmetal.com/","reachable","Birmingham","Alabama",4.8,283,1.0
"Express Demo & Waste","+1 866-838-0106","https://expressdemolitionnyc.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3DNassau_County","404","Garden City","New York",4.9,66,1.0
"Dirty Boyz Waste Solutions","+1 305-204-9697","https://www.dirtyboyzwastesolutions.com/","reachable","Miami","Florida",5,116,1.0
"Guardian Dumpster Rental","+1 631-206-5588","https://www.dumpsterrentalnassausuffolk.com/","reachable","West Babylon","New York",5,83,1.0
"Hinkins Disposal","+1 706-885-4032","http://www.hinkinsdisposalllc.com/","403","Augusta","Georgia",5,171,1.0
"Speedy Dumps  Inc","+1 678-255-0469","https://speedydumpsinc.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dseolocale","403","Cumming","Georgia",5,78,1.0
"Mack Daddy Dumpsters","+1 336-296-1470","https://www.mackdaddydumpsters.com/","403","Greensboro","North Carolina",5,79,1.0
"U-Fill Dumpster Rentals LLC","+1 980-484-3455","https://www.u-filldumpsterrentals.com/","reachable","Midland","North Carolina",5,53,1.0
"MST Dumpsters","+1 954-368-3841","https://www.mstdumpsters.com/","reachable","Fort Lauderdale","Florida",4.8,127,1.0
"Junk Empire","+1 706-305-0222","https://www.junkempiredumpsters.com/","reachable","Harlem","Georgia",5,82,1.0
"New Age Junk Removal & Hauling LLC","+1 754-231-1144","https://newagejunk1144.com/","reachable","Hollywood","Florida",5,70,1.0
"STORAGEMAX","+1 919-694-4836","https://www.storagemaxnc.com/self-storage/raleigh-nc-27608%3Futm_source%3Dlocal%26utm_medium%3Dorganic%26utm_campaign%3Dgmb","404","Raleigh","North Carolina",4.8,79,1.0
"Atlas Demolition","+1 732-266-9043","https://www.atlasdemolitionnj.com/%3Futm_source%3Dgoogle%26utm_medium%3Dgbp%26utm_campaign%3Dmaps","404","Dunellen","New Jersey",4.9,54,1.0
"Aloha Junk Man","+1 808-940-0809","http://www.alohajunkman.com/","403","Kailua","Hawaii",5,1363,1.0
"Driveway Safe Dumpster Rental","+1 954-504-3696","http://dwsdumpsters.com/","reachable","Davie","Florida",4.9,149,1.0
"Camel City Roll Offs","+1 336-624-9355","http://www.camelcityrolloffs.com/","reachable","King","North Carolina",5,193,1.0
"IDEAL Trash and Recycling | Greensboro NC","+1 336-360-6363","https://idealtrash.com/pages/dumpster-rental-waste-management","reachable","Greensboro","North Carolina",4.9,66,1.0
"Gator Junk Removal Miami","+1 305-922-0353","https://www.gatorjunkremoval.com/","reachable","Miami","Florida",4.9,93,1.0
"HGR's Truck and Trailers Sales","+1 910-425-6104","http://www.hgrstrailer.com/","403","Hope Mills","North Carolina",4.7,202,1.0
"Hawaii Junk Removal","+1 808-773-0477","https://www.hawaiijunkremoval.net/","reachable","Honolulu","Hawaii",5,1430,1.0
"Port City Containers","+1 910-807-5640","http://portcitycontainers.com/","reachable","Wilmington","North Carolina",5,73,1.0
"Container Technology Inc","+1 866-953-0650","https://containertech.com/%3Futm_source%3DGBP%26utm_medium%3DOrganic","404","Morrow","Georgia",4.9,59,1.0
"Ample Storage Center","+1 919-787-0255","https://amplestoragecenter.com/locations/nc/raleigh/ample-storage-glenwood/%3Futm_medium%3Dyext%26utm_source%3Dextnet","404","Raleigh","North Carolina",4.7,67,1.0
"A1 Hauling and Rolloffs","+1 763-444-6992","https://www.a1rolloffs.com/","reachable","Isanti","Minnesota",4.7,133,1.0
"Top Shelf Waste Systems","+1 910-915-3550","https://topshelfwaste.com/","reachable","Belville","North Carolina",5,65,1.0
"Ramirez general landscaping","+1 919-656-9346","http://ramirezlandscapingservice.com/","reachable","Raleigh","North Carolina",4.8,111,1.0
"ABC Waste Containers","+1 910-650-7339","https://abcwastecontainers.net/","reachable","Bogue","North Carolina",4.9,69,1.0
"TD Rolloffs","+1 612-248-7227","http://www.td-rolloffs.com/","403","Rogers","Minnesota",4.9,96,1.0
"Salty Bins","+1 833-725-8924","https://www.saltybins.com/","reachable","Wilmington","North Carolina",5,301,1.0
"Tri-State Disposal","+1 708-388-9910","https://tri-statedisposal.com/","reachable","Riverdale","Illinois",4.7,517,1.0
"Miami Container  LLC","+1 954-489-8061","http://www.miamicontainers.us/","error:ClientResponseError","Weston","Florida",5,91,1.0
"Speedy Dumpster","+1 919-343-5608","https://www.speedydumpsterraleigh.com/","reachable","Raleigh","North Carolina",4.9,70,1.0
"Aloha Smash Burger Waikiki","+1 808-230-4222","https://alohasmashburgerwaikiki.com/","reachable","Honolulu","Hawaii",4.7,309,1.0
"H.T.M. Contractors Inc","+1 808-456-3311","https://www.htmcontractors.com/","reachable","Honolulu","Hawaii",4.9,222,1.0
"Easy Roll Dumpsters LLC","+1 470-650-5565","https://easyrolldumpsters.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dseolocale","404","Conyers","Georgia",4.9,68,1.0
"Vanderpoel Disposal","+1 320-983-2464","https://vanderpoeldisposalinc.com/","reachable","Ogilvie","Minnesota",4.8,50,1.0
"Triple Crown Rolloffs","+1 217-461-0557","https://www.triplecrownrolloffs.com/","reachable","Girard","Illinois",5,58,1.0
"Wizard Companies","+1 763-537-9600","http://wizardmn.com/","reachable","Brooklyn Park","Minnesota",4.9,59,1.0
"Coastal Containers","+1 757-800-1645","https://www.coastalcontainersva.com/","403","Virginia Beach","Virginia",4.9,69,1.0
"Purple Roll Off","+1 952-393-7411","http://www.purplerolloff.com/","reachable","Glencoe","Minnesota",4.9,95,1.0
"Hauling Solutions  Inc","+1 888-872-7410","https://www.dumpster-rentals-nc.com/","403","Wilson","North Carolina",4.5,76,1.0
"Keehi Transfer Station","+1 808-768-4884","https://www.honolulu.gov/opala/quick-links/waste-drop-off-locations.html","404","Honolulu","Hawaii",4.7,58,1.0
"Hullaway  LLC","+1 404-380-9395","http://www.hullaway.com/","reachable","Smyrna","Georgia",5,271,1.0
"Equip-Rent","+1 612-297-0996","https://www.equiprentmn.com/","403","St Michael","Minnesota",5,132,1.0
"Tom Kraemer  Inc - Dumpsters & Storage Containers","+1 320-685-8226","http://www.tomkraemerinc.com/","403","Cold Spring","Minnesota",4.9,135,1.0
"Junk Truck MN LLC","+1 507-581-1634","http://www.junktruckmn.com/","403","Dundas","Minnesota",4.9,143,1.0
"LePage & Sons","+1 763-757-7100","https://www.mylepage.com/%3Fy_source%3D1_MjAyMTEyMzU0My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D","403","Bethel","Minnesota",4.5,1063,1.0
"Mudek Trucking and J & J Recycling","+1 651-227-4457","http://dumpsterrentalmn.com/","403","St Paul","Minnesota",4.8,224,1.0
"Boxyard RTP","+1 919-433-2001","https://boxyard.rtp.org/","reachable","Research Triangle Park","North Carolina",4.6,1215,1.0
"Troops Haul Junk","+1 704-800-4285","https://troopshauljunk.com/statesville-north-carolina","reachable","Statesville","North Carolina",5,504,1.0
"Avian Carting Corp.","+1 910-465-0424","http://aviancarting.com/","reachable","Wilmington","North Carolina",5,96,1.0
"Carolina Containers & Transport","+1 919-562-9187","https://www.carolinacontainers.com/","reachable","Raleigh","North Carolina",4.9,152,1.0
"Done Right Dumpsters","+1 208-615-5378","https://www.donerightdumpsterrentals.com/","reachable","Nampa","Idaho",5,232,1.0
"Triad Trash Dumpster Rental","+1 336-298-8310","http://triadtrash.com/","reachable","High Point","North Carolina",4.8,51,1.0
"10 Federal Storage","+1 919-759-5447","https://10federalstorage.com/storage-units/north-carolina/graham/2390-nc-54%3Futm_source%3Dgmb%26utm_medium%3Dorganic","404","Graham","North Carolina",4.5,104,1.0
"Reforest Dumpsters - Dumpster Rentals","+1 208-918-1025","http://reforestdumpsters.com/","403","Boise","Idaho",5,76,1.0
"Maxwell Container Sales","+1 910-483-8280","http://www.maxwellcontainer.com/","403","Fayetteville","North Carolina",4.6,57,1.0
"Jedi Junk Removal | Garbage Services | Idaho Falls","+1 208-495-7392","https://junkjedi.org/","500","Idaho Falls","Idaho",4.9,136,1.0
"A1 Dumpster Rentals","+1 704-391-7030","https://www.a1dumpsterrentals.com/%3Fy_source%3D1_MjI1MzkwODMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D","404","Charlotte","North Carolina",4.8,174,1.0
"HBCUCREW. LLC","+1 984-302-4119","http://www.hbcucrew.com/","reachable","Raleigh","North Carolina",4.9,154,1.0
"Edina Seasonal Services","+1 952-925-2843","https://edinaseasonalservices.com/","reachable","Chaska","Minnesota",4.6,53,1.0
"Southern Idaho Junk Removal","+1 208-404-1314","http://southernidahoremoval.com/","reachable","Twin Falls","Idaho",4.9,94,1.0
"EZ Dumpster Rentals  LLC","+1 208-544-6229","https://www.ezdump208.com/","reachable","Boise","Idaho",5,73,1.0
"Lincoln Logistics Dumpster Rentals","+1 704-674-0855","https://www.lincolnlogisticsdumpsterrentals.com/","reachable","Gastonia","North Carolina",5,67,1.0
"Many Hats Remodeling","+1 919-972-8173","https://www.manyhatsnc.com/","reachable","Durham","North Carolina",4.8,115,1.0
"The Picker-Uppers","+1 507-276-3084","http://www.thepickeruppers.com/","reachable","New Ulm","Minnesota",4.9,120,1.0
"Mr.Junk • Removal in Miami","+1 305-903-7888","https://iammrjunk.com/","timeout","Hialeah","Florida",5,224,1.0
"The Best Dumpsters","+1 910-565-4500","https://www.thebestdumpsters.com/","reachable","Fayetteville","North Carolina",5,113,1.0
"American AF Dumpster Rentals","+1 214-225-5865","http://www.americanafdumpsters.com/","403","Waxahachie","Texas",4.8,214,1.0
"We Haul Boise","+1 208-242-3039","https://www.wehaulboise.com/","403","Boise","Idaho",5,421,1.0
"Dump IT | Garbage Services | East Idaho","+1 208-681-5020","http://dumpitidaho.com/","reachable","Idaho Falls","Idaho",4.9,303,1.0
"The Scrap Exchange","+1 919-200-0151","https://www.scrapexchange.org/","403","Durham","North Carolina",4.7,1204,1.0
"Junk Genius","+1 651-412-7660","https://httpswwwjunkremovalnowcom.simplybook.it/","reachable","St Paul","Minnesota",4.9,334,1.0
"Haul It A Day","+1 651-615-4423","https://haulitaday.com/","reachable","Shoreview","Minnesota",5,142,1.0
"Lake City Hauling","+1 208-964-1910","https://lakecityhauling.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-listing","403","Coeur d'Alene","Idaho",5,199,1.0
"Queen City Hauling LLC","+1 980-428-5889","https://queencityhauling.com/","reachable","Charlotte","North Carolina",4.9,423,1.0
"SQS Junk Removal","+1 704-877-3254","http://sqsjunkremoval.com/","reachable","Charlotte","North Carolina",5,254,1.0
"Reddy Rents","+1 612-722-9516","http://reddyrents.com/","404","Minneapolis","Minnesota",4.5,106,1.0
"Junk Amigos","+1 704-651-5107","https://thejunkamigos.com/","405","Charlotte","North Carolina",5,105,1.0
"Junk Holler","+1 208-899-4000","https://junkholler.com/%3Futm_source%3DGoogle%26utm_medium%3DGMB","404","Boise","Idaho",5,782,1.0
"Junk Removal Authority","+1 919-617-1975","https://junkremovalauthority.com/","reachable","Apex","North Carolina",4.7,72,1.0
"American Floor & Home","+1 808-832-2000","https://www.americanfloorandhome.com/%3Futm_source%3Dgoogle%26utm_medium%3Dlocal-organic%26utm_campaign%3Dgbp","reachable","Honolulu","Hawaii",4.9,1157,1.0
"Rapid Roll Off LLC","+1 618-967-4561","http://www.rapidrolloff.us/","403","Marion","Illinois",5,53,1.0
"ACY Trailer Rental","+1 208-520-1059","http://www.acytrailerrental.com/","reachable","Idaho Falls","Idaho",5,156,1.0
"Springfield Dumpster Rentals","+1 217-339-6383","http://www.springfielddumpsters.net/","reachable","Sherman","Illinois",5,63,1.0
"Treasure Valley Haul Away","+1 208-999-0895","https://treasurevalleyhaulaway.com/","reachable","Meridian","Idaho",5,306,1.0
"Tumbleweed Operations Dumpster Rentals","+1 208-369-8695","https://tumbleops.com/","reachable","Eagle","Idaho",5,51,1.0
"Clean Slate Junk Removal Service  LLC","+1 800-674-8326","http://www.cleanslatejunkservices.com/","reachable","Raleigh","North Carolina",5,68,1.0
"National Disposal Services","+1 704-733-7176","http://nationaldisposals.com/","reachable","Gastonia","North Carolina",4.8,59,1.0
"Carolina Dumpster Rentals & Roofing","+1 919-621-2602","http://carolina-dumpsters.com/","reachable","Raleigh","North Carolina",5,88,1.0
"Bowen's Dumpster Services","+1 704-648-5327","https://www.bowensdumpsterservices.com/","reachable","Gastonia","North Carolina",4.9,95,1.0
"Golden Rule Junk Removal & Hauling  LLC","+1 919-896-1693","http://www.goldenrulejunkremoval.com/","403","Knightdale","North Carolina",5,182,1.0
"Dump-It Dumpsters LLC","+1 919-921-2836","https://dumpitdumpstersnc.com/","403","Benson","North Carolina",5,50,1.0
"Morningstar Storage","+1 704-387-5077","https://www.morningstarstorage.com/location/344/nc/charlotte/uptown/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-listing","reachable","Charlotte","North Carolina",4.5,159,1.0
"Junk Wranglers and Removal","+1 919-695-2673","https://junkwranglersandremoval.com/","reachable","Wake Forest","North Carolina",5,123,1.0
"Bin Pro Dumpster Rental","+1 507-381-9485","https://mybinpro.com/","reachable","Janesville","Minnesota",4.9,74,1.0
"Bin-Boys Dumpster Service","+1 217-566-1052","https://bin-boys.com/","reachable","Springfield","Illinois",5,458,1.0
"GreenTree Crates","+1 919-880-0956","http://www.greentreecrates.com/","reachable","Raleigh","North Carolina",5,103,1.0
