name,phone,website,city,state,rating,reviews,quality_score
"Veterans Dumpster Rental","+1 619-740-1194","http://veteransdumpsterrentals.com/","Lakeside","California",5,53,1.0
"JunkMates - Junk Removal Downtown San Diego","+1 858-740-4750","https://junkmatessd.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp-listing%26utm_content%3Djm-downtown","San Diego","California",5,213,1.0
"WHATABIN.COM - San Diego Trash Bin Cleaning","+1 760-560-7328","http://whatabin.com/","Chula Vista","California",5,228,1.0
"Crisan Junk Removal","+1 619-500-9920","http://crisanjunkremoval.com/%3Futm_source%3DOrganic%26utm_medium%3DGBP","San Diego","California",4.9,259,1.0
"Tito's Junk Removal San Diego","+1 619-466-6723","http://www.titosjunkremoval.com/","San Diego","California",5,115,1.0
"Vets Move Junk","+1 866-584-7803","https://www.vetsmovejunk.com/%3Futm_source%3Dgmb","San Diego","California",4.9,676,1.0
"Trident Junk Removal","+1 760-871-8794","https://tridentjunkremoval.com/","El Cajon","California",5,82,1.0
"Prime Storage","+1 858-330-1280","https://primestorage.com/locations/ca/san-diego/CA13/%3Futm_source%3Dgbp%26utm_medium%3Dorganic%26utm_campaign%3DCA13","San Diego","California",4.5,444,1.0
"Costco Wholesale","+1 858-270-6920","https://www.costco.com/warehouse-locations/san-diego-CA-401.html%3Futm_term%3DKW%26utm_campaign%3DHomepage%26utm_medium%3DGMB%26utm_source%3DGoogle%26utm_content%3DLink","San Diego","California",4.5,6077,1.0
"eaves Rancho Penasquitos","+1 858-324-1114","https://www.avaloncommunities.com/california/san-diego-apartments/eaves-rancho-penasquitos%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dgmblist","San Diego","California",4.6,240,1.0
"JunkMD","+1 858-869-9448","https://junkmd.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-listing","San Diego","California",5,1359,1.0
"Johan's Junk Removal and Hauling Inc","+1 619-942-8978","https://www.johansjunkremoval.com/","San Diego","California",5,135,1.0
"FETCH Junk Removal","+1 619-333-8447","https://www.fetchjunk.com/","La Mesa","California",5,80,1.0
"The Junk Medics","+1 619-376-3198","http://www.thejunkmedics.com/","La Mesa","California",5,491,1.0
"San Diego Trash Valet (Trash Concierge  Inc.)","+1 858-333-2411","http://sandiegotrashvalet.com/","San Diego","California",5,52,1.0
"Monarch Dumpster Rental","+1 951-441-3619","http://www.monarchdumpsters.com/","Wildomar","California",5,265,1.0
"Dumpster Dogs","+1 512-962-2586","https://ddwaste.com/austin","Del Valle","Texas",5,168,1.0
"Aztec Container","+1 800-399-2126","https://www.azteccontainer.com/%3Futm_source%3DgoogleBusinessProfile%26utm_medium%3Dorganic%26utm_campaign%3DmainLink","Vista","California",4.6,96,1.0
"MI-BOX Moving & Mobile Storage of San Diego","+1 858-779-2600","http://www.miboxsandiego.com/","Poway","California",4.9,126,1.0
"Sunbelt Rentals","+1 619-299-4300","https://www.sunbeltrentals.com/location/ca/san-diego/equipment-tool-rentals/1328/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dpc1328%26y_source%3D1_MTc2MDY0NDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D","San Diego","California",4.7,53,1.0
"Junk and Trash Hauling San Diego","+1 619-908-0333","https://happyhauling.net/","San Diego","California",5,94,1.0
"Big Box Storage","+1 619-353-9845","https://www.bigbox.com/service-areas/","San Diego","California",4.9,556,1.0
""State Debris Solution" - Dumpster Rental in San Jose","+1 408-516-0890","https://statedebrissolution.com/about-us/","San Jose","California",5,53,1.0
"Bay Area Demo and Hauling","+1 408-663-5865","http://www.bayareademoandhauling.com/","San Jose","California",5,252,1.0
"Zero Junk - San Jose Junk Removal Service","+1 669-200-0490","https://zerojunk.com/%3Futm_campaign%3Dgmb%26utm_medium%3Dorganic%26utm_source%3Dgoogle","San Jose","California",5,247,1.0
"JMA dumpsters (Junk Management Assistance)","+1 831-737-3553","http://jmadumpsters.com/","Prunedale","California",4.9,77,1.0
"Junk Deal | Junk Removal Company","+1 650-995-7500","http://www.junkdeal.com/","Menlo Park","California",4.9,143,1.0
"Container Solutions Inc.","+1 800-506-7368","http://www.containersolutions.net/","Concord","California",4.8,107,1.0
"Wise Dumpsters Inc","+1 510-913-9149","https://wisedumpster.com/","Pittsburg","California",5,71,1.0
"Advance Disposal","+1 916-444-8676","https://www.wastemanagementdumpsters.net/","Sacramento","California",5,224,1.0
"Waste Removal & Recycling  Inc.","+1 916-453-1400","https://sacramento-dumpsters.com/","Sacramento","California",4.9,92,1.0
"DISCARD JUNK","+1 916-866-1152","https://www.discardjunk.com/","Sacramento","California",5,444,1.0
"Two Men and a Junk Truck","+1 916-587-6351","https://twomenandajunktruck.com/locations/ca/junk-removal-sacramento%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp","Sacramento","California",5,132,1.0
"Sac Junk","+1 916-716-2108","https://www.sacjunk.com/","Rancho Cordova","California",5,138,1.0
"Junk Away inc.","+1 916-900-8535","https://junkawaysac.com/","Carmichael","California",4.9,213,1.0
"TCJ Hauling (Take Care Junk)","+1 916-770-7619","http://takecarejunk.com/","West Sacramento","California",5,233,1.0
"Bins So Clean","+1 833-694-2467","https://www.binssoclean.com/","Sacramento","California",5,82,1.0
"JunkGuys","+1 916-471-4916","https://junkcalifornia.com/","Roseville","California",4.9,411,1.0
"Kale's Junk & Trash Hauling","+1 916-295-2622","https://kalesjunkandtrashhauling.com/","Roseville","California",5,391,1.0
"Junk Hunter Junk Removal","+1 925-286-9909","http://www.junkhunter.net/","Walnut Creek","California",5,127,1.0
"Manzanita's Hauling And Junk Removal","+1 510-488-8385","https://www.manzanitahauling.net/","Oakland","California",5,61,1.0
"Reset Advantage Hauling","+1 510-435-7735","http://www.resetadvantagehauling.com/","Oakland","California",5,151,1.0
"Oakland Dumpsters","+1 248-872-5966","http://www.oaklanddumpstersmi.com/","Waterford Township","Michigan",5,149,1.0
"Rays Hauling","+1 925-594-0029","http://raysjunkhauling.com/","Pittsburg","California",5,516,1.0
"Trash Scouts","+1 510-788-0462","http://www.trashscouts.com/","Oakland","California",5,202,1.0
"Major Dumpsters | Nassau & Suffolk County Dumpster Rentals","+1 516-696-3867","https://www.majordumpsters.com/","Oceanside","New York",4.9,123,1.0
"1-888-DUMPSTER Rentals","+1 646-668-6841","https://1888dumpster.com/","Oceanside","New York",5,61,1.0
"Call Bruno Junk Removal","+1 310-922-5135","http://callbrunojunkremoval.com/","Long Beach","California",5,92,1.0
"J-2 Containers & Storage","+1 833-269-4887","https://www.j2containers.com/","Wilmington","California",4.5,64,1.0
"P.C. Richard & Son","+1 212-924-0200","https://www.pcrichard.com/stores/new-york/manhattan/chelsea.html%3Futm_source%3DGoogle-My-Business%26utm_medium%3Dorganic%26utm_campaign%3DGoogle-My-Business","New York","New York",4.9,4803,1.0
"Dan's Rubbish Removal & Dumpster Rentals  LLC","+1 508-796-5096","https://www.dansrubbish.com/","Worcester","Massachusetts",5,192,1.0
"SWIFT Disposal Bakersfield Dumpsters & Hauling","+1 661-282-7085","https://bakersfieldjunkremoval.net/","Bakersfield","California",5,802,1.0
"Kern County Clean Up","+1 661-378-1634","https://kerncountycleanup.com/","Bakersfield","California",5,115,1.0
"Muñoz Hauling Trash Removal  LLC","+1 661-520-9790","http://munozhaulingtrashremoval.com/","Bakersfield","California",5,158,1.0
"OH Junk It Junk Removal","+1 661-480-8661","https://ohjunkit.com/","Lancaster","California",5,263,1.0
"Trailer Rental  Imperial Dynasty LLC","+1 661-402-9104","http://www.trailerrentalsbakersfield.com/","Bakersfield","California",5,66,1.0
"SoCal Junk Men","+1 714-706-3957","https://www.socaljunkmen.com/","Anaheim","California",5,335,1.0
"Junk Hunters USA","+1 714-390-9022","http://junkhuntersusa.com/","Santa Ana","California",5,175,1.0
"Heritage Dumpster Solutions","+1 951-441-2972","https://heritagedumpstersolutions.com/%3Futm_campaign%3Dgmb","Riverside","California",5,221,1.0
"Junk Dawgs Riverside","+1 909-712-9525","https://junkdawgs.net/riverside-ca/%3Futm_source%3DGMB%26utm_medium%3Dlocal%26utm_campaign%3Driverside","Riverside","California",5,353,1.0
"Rocky's Dumpster Rental","+1 951-667-8553","https://www.rockysjunkremoval.com/","Jurupa Valley","California",5,61,1.0
"Spot On Dumpster Rentals LLC","+1 951-933-8401","http://spotondumpsterrentals.com/","Perris","California",4.9,73,1.0
"EZ Stockton Junk Removal","+1 209-318-3775","https://junkremovalguysofstockton.com/","Stockton","California",5,172,1.0
"JRemoval","+1 949-992-3619","https://jremoval.com/","Irvine","California",5,74,1.0
"Junk Removal Always ON Time","+1 714-406-7515","http://junkremovalnewport.com/","Newport Beach","California",5,268,1.0
"JP's Junk Removal & Property Services","+1 209-876-0046","http://jptrailerrental.com/","Modesto","California",5,147,1.0
"OnCall Dumpsters","+1 209-505-8733","http://oncalldumpsters.com/","Ceres","California",5,86,1.0
"EZ Junk Removal","+1 209-661-7764","https://junkremovalguysofmodesto.com/","Modesto","California",5,108,1.0
"West Coast Waste Removal & Dumpster Rentals Phelan","+1 760-486-2294","https://westcoastwasteremovalanddumpsterrentals.com/phelan-dumpster-rentals","Phelan","California",5,58,1.0
"Junk Squad NSLM LLC","+1 626-264-2513","http://trashsquad.net/","Fontana","California",5,54,1.0
"IEJUNK","+1 909-498-4321","https://iejunk.com/","Mentone","California",5,1229,1.0
"Junkman Enterprises  Inc.","+1 303-777-4667","http://www.junkmanonline.com/","Denver","Colorado",5,1637,1.0
"DumpsterDash","+1 720-961-2861","https://getdumpsterdash.com/%3Futm_source%3DGoogle%2BBusiness%2BProfile%26utm_medium%3DGBP%26utm_campaign%3DGBP%2BWebsite%2BButton","Brighton","Colorado",5,343,1.0
"Humpty Dump Roll-Offs & Dumpsters","+1 844-486-7893","http://humptydumpco.com/","Commerce City","Colorado",4.7,418,1.0
"Junk Removed Now","+1 719-297-1080","https://junkremovednow.com/","Colorado Springs","Colorado",4.9,184,1.0
"Preferred Roll-Off Services LLC","+1 719-619-6101","https://www.preferredrolloffservices.com/","Colorado Springs","Colorado",5,53,1.0
"Total Disposal","+1 303-659-3333","https://www.totaldisposalofdenver.com/","Arvada","Colorado",4.8,294,1.0
"Roll-Off Remedies  Inc","+1 303-625-9275","https://www.remediesdumpsterrental.com/%3Futm_campaign%3Dgmb","Denver","Colorado",4.8,291,1.0
"The Good Guys At Earthwise Roll Off Dumpster Rentals","+1 719-687-7900","https://www.thegoodguysatearthwise.com/","Colorado Springs","Colorado",4.9,488,1.0
"Red Rocks Roll-Off Services","+1 303-883-6050","https://www.redrocksrollo.com/","Denver","Colorado",4.9,72,1.0
"Skyline Roll Off Services","+1 970-212-7334","https://dumpster-rental-service.com/","Loveland","Colorado",4.9,142,1.0
"Construction Roll-Off | Dumpster Rentals","+1 720-664-8664","https://www.constructionrolloff.com/","Arvada","Colorado",5,76,1.0
"Premier Roll Off Services","+1 303-968-1706","https://www.premierrolloffservices.com/","Thornton","Colorado",4.9,197,1.0
"Griffin Waste","+1 719-359-9820","https://griffinwaste.com/dumpster-franchise/griffin-waste-dumpster-rental-colorado-springs-colorado/","Colorado Springs","Colorado",5,122,1.0
"GJ Roll Away Dumpster Rental and Junk Removal","+1 970-275-7790","https://www.gjdumpster.com/","Grand Junction","Colorado",5,208,1.0
"Dumpster Rental","+1 970-631-8585","https://dumpsterrentalnoco.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-listing","Windsor","Colorado",5,254,1.0
"UpWaste Denver Dumpster Rental and Site Services","+1 720-303-2181","https://cheapwaste.com/denver-dumpster-rental%3Futm_campaign%3DSEO%26utm_medium%3Dwebsite_click%26utm_source%3DGMB_Denver","Commerce City","Colorado",5,69,1.0
"All American Dumpster","+1 719-330-4226","https://allamericandumpster.com/","Colorado Springs","Colorado",5,54,1.0
"Junk Genius X","+1 303-388-7780","https://junkgenius.com/jg-denver/","Englewood","Colorado",4.9,297,1.0
"Fuzion Field Services","+1 970-539-4201","https://www.fuzionfs.com/%3Futm_source%3Dgoogle%26utm_medium%3Dgmb","Greeley","Colorado",4.7,397,1.0
"Alpine Roll-Off Services","+1 970-640-7058","https://www.alpinerolloffs.com/","Rifle","Colorado",5,103,1.0
"Hauling Ops - Dumpster Rentals","+1 720-999-0418","https://www.haulingops.com/","Milliken","Colorado",5,51,1.0
"Apex Junk Removal & Donations","+1 303-589-0789","http://www.apex-junkremoval.com/","Elizabeth","Colorado",5,106,1.0
"Cardella Waste","+1 800-548-7001","http://www.cardellawaste.com/","North Bergen","New Jersey",4.9,572,1.0
"Go Pro Waste Services","+1 973-604-8595","https://goprowaste.com/","Belleville","New Jersey",5,99,1.0
"Horizon Disposal Services","+1 609-341-9100","https://horizondisp.com/%3Futm_source%3Dorganic%26utm_medium%3Dmybusiness","Trenton","New Jersey",4.8,66,1.0
"S&A Container Service","+1 631-648-9088","https://www.sacontainerservice.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dseolocale","Blue Point","New York",5,108,1.0
"AAA Carting","+1 914-730-2014","http://aaacarting.com/","Buchanan","New York",4.5,470,1.0
"Hiep Sanitation","+1 845-358-7070","http://hiepsanitation.com/","West Nyack","New York",4.8,116,1.0
"Just Rubbish Removal","+1 646-371-2167","http://www.needrubbishremoval.com/%3Futm_campaign%3Dgmb","Brooklyn","New York",5,481,1.0
"Skyway Windows LLC","+1 917-284-4475","https://skywaywindows.com/","New York","New York",4.8,93,1.0
"CONSTRUCTION ENTERPRISE NY","+1 718-322-9093","https://jbgeneralcontracting.com/","Ozone Park","New York",4.9,125,1.0
"MYG - Junk Removal","+1 917-808-7611","http://mygjunkremovalny.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick","Rego Park","New York",5,118,1.0
